Citation	Subject	Subject Label	Predicate	Object	Object Label	Qualifier	Qualifier Label	Subject Qualifier	Subject Extension	Object Extension	Count
16707036	management of temporal bone involvement		treats	hp:0000365	deafness	camurati-engelmann's disease					1
26666167	establishment of caend patient-derived ips cells		treats	hyperosteosis		camurati-engelmann disease			ips cells		1
26666167	establishment of caend patient-derived ips cells		treats	sclerosis of the diaphyses of long bones		camurati-engelmann disease		caend patient-derived	ips cells		1
26666167	development of novel therapeutic agents		treats	hyperosteosis		mondo:0007542	camurati-engelmann disease		transforming growth factor-beta1		1
26666167	research advancement for the development of novel therapeutic agents		treats	sclerosis of the diaphyses of long bones		mondo:0007542	camurati-engelmann disease	with transforming growth factor-beta1	transforming growth factor-beta1		1
26457758	inhibiting ryr1 leakage		treats	hp:0001324	muscle weakness	cancer-associated muscle weakness			ryr1 leakage		1
26457758	inhibiting tgf-beta signaling		treats	hp:0001324	muscle weakness	cancer-associated muscle weakness			tgf-beta signaling	cancer-associated	1
26457758	inhibiting tgf-beta release from bone		treats	hp:0001324	muscle weakness	cancer-associated muscle weakness			tgf-beta		1
26457758	inhibiting nox4 activity		treats	hp:0001324	muscle weakness	cancer-associated muscle weakness			nox4 activity		1
28261436	retrospective reviewing of medical records and radiographs		treats	hp:0009763	limb pain	mondo:0007542	camurati-engelmann disease				1
28261436	molecular genetic test		treats	limb pain		camurati-engelmann disease			molecular genetic test		1
28261436	medication for limb pain		treats	hp:0009763	limb pain	mondo:0007542	camurati-engelmann disease		medication		1
6472973	radiographic screening		treats	variable osseous and muscular manifestations		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
6472973	radiographic screening		prevents	hp:0000520	exophthalmos	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
16446922	discussion of clinical manifestations		treats	involvement restricted to the temporal bone		rare osteodysplasia of the temporal bone					1
16446922	discussion of clinical manifestations		treats	impairment of other bones		rare osteodysplasia of the temporal bone					1
16446922	discussion of clinical manifestations		treats	hp:0010628	facial palsy	rare osteodysplasia of the temporal bone					1
16446922	radiological findings		treats	involvement restricted to the temporal bone		rare osteodysplasia of the temporal bone					1
16446922	radiological findings		treats	impairment of other bones		rare osteodysplasia of the temporal bone					1
16446922	radiological findings		treats	hp:0010628	facial palsy	rare osteodysplasia of the temporal bone					1
16446922	differential diagnostic		treats	involvement restricted to the temporal bone		rare osteodysplasia of the temporal bone					1
16446922	differential diagnostic		treats	impairment of other bones		rare osteodysplasia of the temporal bone					1
16446922	differential diagnostic		treats	facial palsy		rare osteodysplasia of the temporal bone					1
16446922	maxo:0001298	therapy	treats	involvement restricted to the temporal bone		rare osteodysplasia of the temporal bone					1
16446922	maxo:0001298	therapy	treats	impairment of other bones		rare osteodysplasia of the temporal bone					1
16446922	therapy		treats	facial palsy		rare osteodysplasia of the temporal bone					1
29620655	treatment		treats	hp:0002653	bone pain	mondo:0007542	camurati-engelmann disease		chebi:50858		1
29620655	treatment		treats	hp:0003388	easy fatigability	mondo:0007542	camurati-engelmann disease		chebi:50858		1
29620655	maintenance therapy		prevents	symptom progression		mondo:0007542	camurati-engelmann disease		chebi:6541		1
15959620	radiographic studies		treats	painful, swollen legs		mondo:0007542	camurati-engelmann disease				1
15959620	radiographic studies		treats	intense pain in legs		mondo:0007542	camurati-engelmann disease				1
15959620	radiographic studies		treats	reduced muscle mass		camurati-engelmann disease			radiographic studies	reduced muscle mass	1
15959620	radiographic studies		treats	weakness		camurati-engelmann disease			radiographic studies		1
15959620	radiographic studies		treats	hp:0002515	waddling gait	mondo:0007542	camurati-engelmann disease				1
15959620	radiographic studies		treats	progressive periosteal and endosteal sclerosis of the diaphyses of the long bones		mondo:0007542	camurati-engelmann disease				1
15959620	radiographic studies		treats	hp:0002694	sclerosis of the skull base	mondo:0007542	camurati-engelmann disease				1
10457303	steroid treatment		treats	leg pain		progressive diaphyseal dysplasia (pdd)			steroid		1
10457303	steroid treatment		treats	fatigue		progressive diaphyseal dysplasia (pdd)			steroid		1
10457303	treatment		treats	hp:0002315	headache	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:35341		1
10457303	steroid treatment		treats	anorexia		progressive diaphyseal dysplasia (pdd)			steroid		1
10457303	steroid treatment		treats	hp:0002515	waddling gait	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:35341		1
10457303	steroid treatment		treats	thorax deformity		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:35341		1
10457303	treatment		treats	thickening in the upper extremities		mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:35341		1
10457303	deflazacort treatment		treats	hp:0012514	leg pain	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with deflazacort	chebi:135720		1
10457303	deflazacort treatment		treats	hp:0012378	fatigue	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with deflazacort	chebi:135720		1
10457303	treatment		treats	hp:0002315	headache	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with deflazacort	chebi:135720		1
10457303	treatment		treats	hp:0002039	anorexia	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with deflazacort	chebi:135720		1
10457303	deflazacort treatment		treats	waddling gait		progressive diaphyseal dysplasia (pdd)		with deflazacort	deflazacort		1
10457303	deflazacort treatment		treats	thorax deformity		mondo:0007542	progressive diaphyseal dysplasia (pdd)	with deflazacort	chebi:135720		1
10457303	deflazacort treatment		treats	thickening in the upper extremities		mondo:0007542	progressive diaphyseal dysplasia (pdd)	with deflazacort	chebi:135720		1
2548243	conservative treatment with corticosteroids		treats	hp:0000365	deafness	mondo:0007542	progressive diaphyseal dysplasia (pdd)	conservative	chebi:50858		1
2548243	conservative treatment		treats	vestibular disturbances		mondo:0007542	progressive diaphyseal dysplasia (pdd)	with corticosteroids	chebi:50858		1
2548243	conservative treatment with corticosteroids		treats	hp:0007209	facial paralysis	mondo:0007542	progressive diaphyseal dysplasia (pdd)	conservative	chebi:50858		1
2548243	conservative treatment		treats	hp:0000365	deafness	mondo:0007542	progressive diaphyseal dysplasia (pdd)		chebi:3306		1
2548243	conservative treatment		treats	vestibular disturbances		mondo:0007542	progressive diaphyseal dysplasia (pdd)	with calcitonin	chebi:3306		1
2548243	conservative treatment with calcitonin		treats	hp:0007209	facial paralysis	mondo:0007542	progressive diaphyseal dysplasia (pdd)	conservative	chebi:3306		1
2548243	conservative treatment with diphosphonates		treats	hp:0000365	deafness	mondo:0007542	progressive diaphyseal dysplasia (pdd)	conservative	chebi:29262		1
2548243	conservative treatment		treats	vestibular disturbances		mondo:0007542	progressive diaphyseal dysplasia (pdd)	with diphosphonates	chebi:29262		1
2548243	conservative treatment		treats	hp:0007209	facial paralysis	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with diphosphonates	chebi:29262		1
2548243	surgical treatment		treats	hp:0000365	deafness	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with decompression	decompression		1
2548243	surgical treatment		treats	vestibular disturbances		camurati-engelmann disease		with decompression	decompression		1
2548243	surgical treatment		treats	hp:0007209	facial paralysis	mondo:0007542	progressive diaphyseal dysplasia (pdd)	with decompression	decompression		1
11807860	polymerase chain reaction-direct sequencing		treats	identification of genetic mutations		camurati-engelmann disease type ii					1
11807860	pcr-single strand conformational polymorphism analysis		treats	identification of genetic mutations		camurati-engelmann disease type ii				genetic	1
28137547	surgical decompression		treats	cranial nerve dysfunction		mondo:0009032	camurati-engelmann disease (ced)				1
28137547	surgical decompression		treats	hp:0002516	increased intracranial pressure	mondo:0009032	camurati-engelmann disease (ced)				1
28137547	ventriculoperitoneal shunting		treats	hp:0002516	increased intracranial pressure	mondo:0009032	camurati-engelmann disease (ced)				1
28137547	posterior fossa decompression		treats	hp:0002516	increased intracranial pressure	mondo:0009032	camurati-engelmann disease (ced)				1
28137547	multiple craniotomies		treats	hp:0002516	increased intracranial pressure	mondo:0009032	camurati-engelmann disease (ced)				1
28137547	radical craniectomy		treats	hp:0002516	increased intracranial pressure	mondo:0009032	camurati-engelmann disease (ced)				1
28137547	cranioplasties		treats	recurrence of symptoms due to bony regrowth		mondo:0009032	camurati-engelmann disease (ced)		titanium meshes		1
