Ratings,PMID        Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,28944997	Desire for parenthood and reproductive health knowledge in adolescents and young adults with sickle cell disease and their caregivers. BACKGROUND/OBJECTIVE: Sickle cell disease (SCD) and hydroxyurea have implications for fertility and reproductive health. The goal of this study was to examine desire for parenthood and reproductive health knowledge among a cohort of adolescent and young adult (AYA) with SCD receiving hydroxyurea and their caregivers at a large pediatric academic center. METHODS: Patients with SCD were approached from September 2016 to July 2017 if they were: (1) 12-20 years old,(2) prescribed hydroxyurea for at least 6 months,(3) proficient in English,and (4) accompanied by a caregiver who was proficient in English and willing to participate.  Participants self-reported sociodemographic characteristics and completed surveys to assess their/their child's desire for parenthood and other life goals,and reproductive health knowledge. RESULTS: Eighteen patient-caregiver dyads completed the study (78.3% of those eligible); 61.1% indicated that they wanted to have future biological children.  Few participants reported receiving information about fertility (16.7% of AYA and 27.8% of caregivers) or birth control (11.1% of AYA and 22.2% of caregivers) from their/their child's health care provider,and the majority had received no information on these topics. Less than half of participants reported that SCD (22.2% of AYA and 50.0% of caregivers) or hydroxyurea (11.1% of AYA and 27.8% of parents) could potentially impair fertility. CONCLUSIONS: Biological parenthood was important to this cohort yet fertility and reproductive health knowledge was low,suggesting that clinicians should prioritize conversations about infertility risk and birth control options with AYA with SCD on hydroxyurea and their caregivers.  More research is needed to identify optimal approaches to these discussions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,33524905	Motivations and deterrents toward blood donation in Kampala,Uganda. Severe malaria,hemorrhage during childbirth,sickle cell anemia,injury from road accidents,and other medical conditions that necessitate blood transfusions affect thousands of Ugandans every year. However,only 0.3-0.5% of the population donates blood,which is less than half of the proportion recommended by the World Health Organization to maintain a sufficient supply in blood banks and health facilities. In January 2018,Uganda faced crisis level blood shortages,increasing preventable deaths in the country as patients lacked access to life-saving transfusions. To understand the factors that impact a person's decision to give blood and to inform public health campaigns that seek to promote donation,researchers collaborated with Uganda Blood Transfusion Services (UBTS) and the Uganda Red Cross Society (URCS),the primary actors in blood donation in Uganda,to conduct 50 semi-structured in-depth interviews with blood donors and non-donors and 22 key informant interviews with UBTS and URCS staff members. Through qualitative data analysis using Dedoose software,this study identified several key motivations that promote donation,including altruism,civic duty,and opportunities for disease testing,as well as important deterrents,including fear of needles and blood and lack of awareness of or access to blood donation drives. Results have been shared with blood collection agencies to inform public health campaigns that seek to dispel fears and promote motivations toward donation to increase the blood supply and decrease preventable deaths in Uganda.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,28238414        Histological features of bone marrow in paediatric patients during the asymptomatic phase of early-stage Black African sickle cell anaemia. Bone marrow histological features of sickle cell anaemia (SCA) patients during early stages and in the asymptomatic phase of the disease appear an interesting area of study,representing early-stage consequences of SCA with a close relation to its pathophysiology. Unfortunately,this field of research has never been specifically addressed before. Bone marrow biopsies from 26 consecutive Black African SCA patients (M:F=1.6:1; age 2-17 years),free of clinical signs of chronic bone marrow damage,with no recent history of symptomatic vaso-occlusive episodes,and waiting for haematopoietic stem cell transplantation (HSCT),underwent morphological,immunohistochemical and electron microscopy evaluation. Additional comparison with three bone marrow specimens from post-HSCT SCA patients and 10 bone marrow specimens from AS healthy carriers was performed. Bone marrow of SCA patients was normocellular or slighly hypercellular in all cases. Erythroid hyperplasia was a common feature. Myeloid lineage was slightly decreased with normal to slightly diminished neutrophilic granulocytes; CD68 positive monocytic-macrophagic cells appeared slightly increased,with a predominant CD163 positive M2/M(Hb) phenotype. A positive correlation was found between haemoglobin values and number of bone marrow erythroid cells (R2=0.15,p=0.05). Intravascular and interstitial clusters of erythroid sickle cells were found in bone marrow of pre-HSCT homozygous SS SCA patients,as well as heterozygous AS healthy carriers,and the single post-HSCT patient matched to an AS health carrier donor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,32220342	Paediatric to adult transition care for patients with sickle cell disease: a global perspective. Sickle cell disease is a life-threatening inherited condition designated as a public health priority by WHO. Increased longevity of patients with sickle cell disease in high-income,middle-income,and low-income countries present unprecedented challenges for all settings; however,a globally standardised solution for patient transition from paediatric to adult sickle cell disease health care is unlikely to address the challenges. We established a task force of experts from a multicountry (the USA,Europe,Middle East,and Africa) consortium. We combined themes from the literature with viewpoints from members of the task force and invited experts to provide a global overview of transition care practice,highlighting barriers to effective transition care and provide baseline recommendations that can be adapted to local needs. We highlighted priorities to consider for any young person with sickle cell disease transitioning from paediatric to adult health care: skills transfer,increasing self-efficacy,coordination,knowledge transfer,linking to adult services,and evaluating readiness (the SICKLE recommendations). These recommendations aim to ensure appropriate benchmarking of transition programming,but multisite prospective studies are needed to address this growing public health need.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,31229639	Identification and Characterization of Hematopoietic Stem Cell Transplant Candidates in a Sickle Cell Disease Cohort. Sickle cell disease (SCD) is associated with significant morbidity,and allogeneic hematopoietic stem cell transplantation (HSCT) remains the primary curative treatment. Recently,the Brazilian Ministry of Health released a regulation that required the publically funded healthcare system to pay for HSCT for SCD patients with defined indications. We used an existing 2794-member SCD cohort established during 2013 to 2015 to characterize candidates for HSCT and estimate the number of possible donors. Of 2064 patients with SC anemia (SCA),152 of 974 children (16%) and 279 of 1090 adults (26%) had at least 1 HSCT indication. The most common indication for transplant was stroke (n = 239) followed by avascular necrosis (n = 96),priapism (n = 82),cerebrovascular disease (n = 55),>2 vaso-occlusive episodes (n = 38),alloantibodies and chronic transfusion therapy (n = 18),and >2 acute chest syndrome episodes (n = 11). Increasing age,number of transfusions,abnormal transcranial Doppler,retinopathy,dactylitis,and use of hydroxyurea were more frequent in the 152 children with an indication for HSCT compared with 822 without (P < .001). Of 152 children and 279 adults meeting the eligibility definition,77 (50%) and 204 (73%),respectively,had at least 1 non-SCD full sibling who could potentially serve as a donor. In conclusion,in a large cohort of SCA patients,16% of children and 26% of adults had at least 1 indication for HSCT; these indications were associated with the severity of the disease. This study provides clinical data necessary for estimating the costs and infrastructure that would be required to implement HSCT in a public healthcare system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,29883237	Stem cell transplantation in sickle cell disease: therapeutic potential and challenges faced. INTRODUCTION: Sickle cell disease (SCD) is the most common inherited hemoglobinopathy worldwide,and is a life-limiting disease with limited therapeutic options to reduce disease severity. Despite being a monogenic disorder,the clinical phenotypes of SCD are variable,with few reliable predictors of disease severity easily identifying patients where the benefits of curative therapy outweigh the risks. Allogeneic hematopoietic stem cell transplantation (HSCT) is the only curative option,though significant advances in gene therapy raise the promise for additional curative methods. Areas covered: Allogeneic transplantation in SCD has evolved and improved over the last two decades,now offering a standard of care curative option using a human leukocyte antigen (HLA)-matched sibling donor. Many of the seminal transplantation studies are reviewed here,demonstrating how initial failures and successes have influenced and led to current HSCT strategies. Such strategies aim to overcome setbacks and limitations,and focus on conditioning regimens,immune suppression methods,the use alternative donor sources,and gene therapy approaches. Expert commentary: SCD is a curable disease. Each dedicated effort to refine transplantation methods,expand the donor pool,and bring gene therapy models to fruition will make enormous impacts reducing disease burden and improving outcomes and quality of life for patients with SCD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,34488784	Combining malaria vaccination with chemoprevention: a promising new approach to malaria control. Malaria control has stalled in a number of African countries and novel approaches to malaria control are needed for these areas. The encouraging results of a recent trial conducted in young children in Burkina Faso and Mali in which a combination of the RTS,S/AS01E malaria vaccine and seasonal malaria chemoprevention led to a substantial reduction in clinical cases of malaria,severe malaria,and malaria deaths compared with the administration of either intervention given alone suggests that there may be other epidemiological/clinical situations in which a combination of malaria vaccination and chemoprevention could be beneficial. Some of these potential opportunities are considered in this paper. These include combining vaccination with intermittent preventive treatment of malaria in infants,with intermittent preventive treatment of malaria in pregnancy (through vaccination of women of child-bearing age before or during pregnancy),or with post-discharge malaria chemoprevention in the management of children recently admitted to hospital with severe anaemia. Other potential uses of the combination are prevention of malaria in children at particular risk from the adverse effects of clinical malaria,such as those with sickle cell disease,and during the final stages of a malaria elimination programme when vaccination could be combined with repeated rounds of mass drug administration. The combination of a pre-erythrocytic stage malaria vaccine with an effective chemopreventive regimen could make a valuable contribution to malaria control and elimination in a variety of clinical or epidemiological situations,and the potential of this approach to malaria control needs to be explored.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,33471938	Sickle cell disease: progress towards combination drug therapy. Dr. John Herrick described the first clinical case of sickle cell anaemia (SCA) in the United States in 1910. Subsequently,four decades later,Ingram and colleagues characterized the A to T substitution in DNA producing the GAG to GTG codon and replacement of glutamic acid with valine in the sixth position of the betaS -globin chain. The establishment of Comprehensive Sickle Cell Centers in the United States in the 1970s was an important milestone in the development of treatment strategies and describing the natural history of sickle cell disease (SCD) comprised of genotypes including homozygous haemoglobin SS (HbSS),HbSbeta0 thalassaemia,HbSC and HbSbeta+ thalassaemia,among others. Early drug studies demonstrating effective treatments of HbSS and HbSbeta0 thalassaemia,stimulated clinical trials to develop disease-specific therapies to induce fetal haemoglobin due to its ability to block HbS polymerization. Subsequently,hydroxycarbamide proved efficacious in adults with SCA and was Food and Drug Administration (FDA)-approved in 1998. After two decades of hydroxycarbamide use for SCD,there continues to be limited clinical acceptance of this chemotherapy drug,providing the impetus for investigators and pharmaceutical companies to develop non-chemotherapy agents. Investigative efforts to determine the role of events downstream of deoxy-HbS polymerization,such as endothelial cell activation,cellular adhesion,chronic inflammation,intravascular haemolysis and nitric oxide scavenging,have expanded drug targets which reverse the pathophysiology of SCD. After two decades of slow progress in the field,since 2018 three new drugs were FDA-approved for SCA,but research efforts to develop treatments continue. Currently over 30 treatment intervention trials are in progress to investigate a wide range of agents acting by complementary mechanisms,providing the rationale for ushering in the age of effective and safe combination drug therapy for SCD. Parallel efforts to develop curative therapies using haematopoietic stem cell transplant and gene therapy provide individuals with SCD multiple treatment options. We will discuss progress made towards drug development and potential combination drug therapy for SCD with the standard of care hydroxycarbamide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,34078644	Trends in Technology Assistance Among Patients With Childhood Onset Chronic Conditions. OBJECTIVE: To describe the prevalence,types,and trends over time of medical technology assistance (TA) in patients at the age of transition to adult care with childhood onset chronic conditions (COCCs) cared for at children's hospitals. PATIENTS AND METHODS: In this retrospective repeated annual cross-sectional cohort study of the Pediatric Health Information Systems inpatient data,patients with at least 1 hospitalization from January 1,"$2,008.00",to December 31,2018 with a selected COCC were included. The COCCs investigated were brain and spinal cord malformation,cerebral palsy,heart and great vessel malformation,cystic fibrosis,sickle cell anemia,and chronic renal failure. TA was defined as requiring an indwelling medical device to maintain health status. Trends over time in TA were analyzed with the Cochran-Armitage test and generalized linear models. RESULTS: During the study,381 289 unique patients accounted for 940 816 hospitalizations. Transition-aged patients (19-21 years old) represented 2.4% of all included hospitalizations over the 11-year period,whereas patients ages 21 and above represented 2.7%. The annual proportion of patients with TA increased significantly from 31.3% in 2008 to 36.9% in 2018,a 17.9% increase (P < .001). CONCLUSIONS: In this cohort of patients with select COCCs hospitalized at children's hospitals,a substantial and growing number of patients at the age of transition to adult care required TA. Identifying adult providers with resources to manage COCCs and maintain medical devices placed in childhood is challenging. These trends warrant special attention to support the timely and successful transition of medically complex patients from pediatric to adult care.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,36752670	An outpatient pain plan and ED pain pathway for adults with sickle cell disease. ABSTRACT: Sickle cell disease (SCD),one of the most common inherited diseases,is associated with lifetime morbidity and reduced life expectancy. In the United States,SCD primarily affects Black patients and,to a lesser degree,those of Hispanic descent. These populations are known to have healthcare disparities related to lower socioeconomic status,limited access to healthcare,and racial bias. The quality-adjusted life expectancy of patients with SCD is less than 35 years,because of progressive complications of the disease. The most common complication is severe episodic pain related to vaso-occlusive ischemic events. Despite guidelines,pain management often is delayed as patients struggle with resistance from clinicians based on concerns over opioid use or abuse,overdose,or drug-seeking behavior. Effective pain management can be accomplished with collaboration between clinicians and patients,a documented outpatient pain management plan,and when necessary,an ED clinical pain pathway for acute SCD pain management.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,34287597	Contraception and reproductive planning from the perspective of women with sickle cell disease. OBJECTIVE: To understand the perceptions of women with sickle cell disease (SCD) about reproductive planning in a public health service. METHOD: This is a qualitative study conducted with 15 women with SCD attended at a public hospital in Recife,between August 2018 and May 2019. Bardin's content analysis technique was used. RESULTS: The women were between 25 and 38 years old,married,and had low education. After the analysis,four thematic categories emerged: information about contraception,use of contraceptive methods,feelings about pregnancy,and gynecological consultation. It was found that women with SCD are influenced by factors such as fear of complications during pregnancy,lack of information on reproductive planning,partners and health professional opinion,and difficulties in health service access. FINAL CONSIDERATIONS: The reports demonstrate that health workers need to improve the way through which information reaches the patient,to offer a more satisfactory professional practice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,30196969	Risks associated with fertility preservation for women with sickle cell anemia. OBJECTIVE: To highlight the risk of complications among women with sickle cell anemia (SCA) receiving fertility preservation treatment (FPT) before hematopoietic stem cell transplant (HSCT). DESIGN: Single-center case series. SETTING: Academic fertility center. PATIENT(S): Women aged 15-32 years with SCA undergoing FPT before HSCT. INTERVENTION(S): Retrospective,systematic review. MAIN OUTCOME MEASURE(S): FPT modality,SCA complications during FPT. RESULT(S): Over an 8-year period (2009-2017),seven women with SCA ages 15-32 years (mean 28.5 years) underwent FPT with embryo cryopreservation (n = 1),oocyte cryopreservation (n = 4),and ovarian tissue cryopreservation (n = 2). The five women subjects who underwent oocyte or embryo cryopreservation were treated with an antagonist controlled ovarian hyperstimulation protocol and individualized gonadotropin dosing. The trigger medications included leuprolide acetate (n = 2),and human chorionic gonadotropin (n = 3). Most patients (n = 5) received a disease-modifying therapy for SCA (hydroxyurea or chronic transfusions) before FPT. Three patients experienced periprocedural SCA complications that included life-threatening respiratory failure,painful crisis requiring interruption of a stimulation cycle,and severe postharvest painful crisis. CONCLUSION(S): Women with SCA may choose to undergo diverse FPT strategies before HSCT and are at risk for serious SCA-related complications. Evidence-based strategies to mitigate SCA-related morbidity and to optimize fertility preservation outcomes are needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,31804727	Prevalence of serologic markers of transfusion and sexually transmitted infections and their correlation with clinical features in a large cohort of Brazilian patients with sickle cell disease. BACKGROUND: Patients with sickle cell disease (SCD) often require red blood cell (RBC) transfusion for clinical complications,so may be exposed to transfusion-transmitted infections (TTIs). The prevalence of markers for human immunodeficiency virus (HIV),hepatitis C virus (HCV) and B (HBV),human T-cell lymphotropic virus (HTLV-1/2),Chagas disease,and syphilis in an SCD cohort in Brazil were studied. STUDY DESIGN AND METHODS: Clinical history,interview data,blood samples,and medical chart review data were collected during cohort enrollment from November 2013 to May 2015. Serologic markers of infection were assessed. Standard measures of statistical association were calculated,and multivariable models were developed for the most prevalent infections to identify associated factors. RESULTS: Infection markers were evident in 5.2% (144/2779) of the enrolled cohort. Anti-HCV was detected in 69 (2.5%),syphilis antibodies in 34 (1.2%),anti-HTLV-1/2 in 17 (0.6%),HBV surface antigen in 13 (0.5%),Chagas disease antibodies in 13 (0.5%),and anti-HIV in 8 (0.3%) of participants. Factors associated with increased odds of being anti-HCV reactive were older age,illegal drug use,increasing number of RBCs,more than three pain crises in the previous year,and geographic location. Syphilis was associated with older age,females,and smoking history. CONCLUSION: HCV infection was more common in older patients who may have received RBCs before testing was performed on donations,suggesting possible historic transfusion transmission. The cohort showed decreasing rates of infections and a reduction in transfusion transmission markers in younger patients compared to historical literature except for syphilis,indicating contemporary reduced risk of TTI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,35995392	Comparison of Anti-Mullerian Hormone Levels Pre- and Post-Hematopoietic Cell Transplantation in Pediatric and Adolescent Females with Sickle Cell Disease. Allogeneic hematopoietic cell therapy (HCT) is an established cure for sickle cell disease (SCD); however,HCT conditioning regimens are known to be gonadotoxic. Anti-mullerian hormone (AMH) measures ovarian reserve,and follicle-stimulating hormone (FSH) defines premature ovarian insufficiency (POI) at values >40 mIU/mL in pubertal females. The present study was conducted to assess ovarian reserve and function before and after transplantation in pediatric and adolescent females with SCD treated with allogeneic HCT between January 2015 and June 2020 at Children's Healthcare of Atlanta. In this retrospective review of 17 females age <21 years with SCD who had AMH levels measured at baseline and at 2 years post-HCT,AMH levels were categorized as normal,low,or undetectable,and FSH levels were measured and used to identify pubertal females who had developed POI. Demographic and treatment data were abstracted from the institutional database and medical records,and a descriptive statistical analysis was conducted. Of the 17 patients in the study cohort,14 had been treated with hydroxyurea and 3 had chronic transfusions but with no significant iron overload. AMH levels were normal in 15 patients (88%) and low in 2 patients (12%) at baseline. The median age at HCT was 7.5 years (range,3.7 to 20.3 years),and 14 patients (82%) underwent matched related donor HCT. After HCT,15 patients (88%) had undetectable AMH and 2 (12%) had low AMH,with no apparent differences by HCT conditioning regimen. No pubertal patients had POI at baseline,whereas 55% of pubertal patients had progressed to POI by 2 years post-HCT. In this cohort,the majority of females had normal AMH levels at baseline but undetectable levels after HCT. Females with SCD considering HCT should be counseled about the treatment-related risk of gonadal dysfunction.   2022 American Society for Transplantation and Cellular Therapy. Published by Elsevier Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,35320302	Perspectives of individuals with sickle cell disease on barriers to care. INTRODUCTION: Sickle cell disease (SCD) is an inherited hemoglobinopathy that predominantly affects African Americans in the United States. The disease is associated with complications leading to high healthcare utilization rates,including emergency department (ED) visits and hospitalizations. Optimal SCD care requires a multidisciplinary approach involving SCD specialists to ensure preventive care,minimize complications and prevent unnecessary ED visits and hospitalizations. However,most individuals with SCD receive sub-optimal care or are unaffiliated with care (have not seen an SCD specialist). We aimed to identify barriers to care from the perspective of individuals with SCD in a multi-state sample. METHODS: We performed a multiple methods study consisting of surveys and interviews in three comprehensive SCD centers from March to June 2018. Interviews were transcribed and coded,exploring themes around barriers to care. Survey questions on the specific themes identified in the interviews were analyzed using summary statistics. RESULTS: We administered surveys to 208 individuals and conducted 44 in-depth interviews. Barriers to care were identified and classified according to ecological level (i.e.,individual,family/interpersonal,provider,and socio-environmental/organizational level). Individual-level barriers included lack of knowledge in self-management and disease severity. Family/interpersonal level barriers were inadequate caregiver support and competing life demands. Provider level barriers were limited provider knowledge,provider inexperience,poor provider-patient relationship,being treated differently,and the provider's lack of appreciation of the patient's SCD knowledge. Socio-environmental/organizational level barriers included limited transportation,lack of insurance,administrative barriers,poor care coordination,and reduced access to care due to limited clinic availability,services provided or clinic refusal to provide SCD care. CONCLUSION: Participants reported several multilevel barriers to SCD care. Strategies tailored towards reducing these barriers are warranted. Our findings may also inform interventions aiming to locate and link unaffiliated individuals to care.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,33034160	The burden of respiratory syncytial virus infections among children with sickle cell disease. BACKGROUND: Although respiratory syncytial virus (RSV) is the leading cause of pediatric lower respiratory tract infections,the burden of RSV in children with sickle cell disease (SCD) is unknown. METHODS: We conducted a retrospective,nested,case-control study of children with SCD <18 years who had respiratory viral panels (RVPs) performed at Children's Healthcare of Atlanta from 2012 to 2019. We abstracted the medical records to describe the demographics,clinical features,and outcomes of children who tested positive for RSV (cases) versus children who tested negative (controls). We calculated the annual incidence of RSV and related hospitalization rates with 95% confidence intervals (CIs) and used multivariate logistic regression to evaluate associations. RESULTS: We identified 3676 RVP tests performed on 2636 patients over seven respiratory seasons resulting in 219/3676 (6.0%) RSV-positive tests among 160/2636 (6.1%) patients. The average annual incidence of laboratory-confirmed RSV infection among children with SCD was 34.3 (95% CI 18.7-49.8) and 3.8 (95% CI 0.5-7.0) cases per 1000 person-years for those <5 years and 5-18 years,respectively. The RSV-related hospitalization rate for children <5 years was 20.7 (95% CI 8.5-32.8) per 1000 person-years. RSV-positive cases were significantly younger than RSV-negative patients (3.8 years vs 7.6 years,P < .001). Of RSV-positive cases,22 (13.8%) developed acute chest syndrome and nine (5.6%) required intensive care,which was not significantly different from RSV-negative children with SCD. CONCLUSION: RSV infections are common in children with SCD with higher burden in younger patients. RSV is associated with considerable morbidity,including higher rates of hospitalization compared to the general population.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,34537420	Haploidentical Allogeneic Stem Cell Transplantation in Sickle Cell Disease: A Systematic Review and Meta-Analysis. Allogeneic hematopoietic stem cell transplantation (SCT) is the sole established curative treatment option for patients with sickle cell disease (SCD). However,a lack of HLA-identical sibling donors is a limiting factor. Haploidentical related donors are a promising donor pool,potentially extending SCT as a curative treatment option to a larger group of patients with no other meaningful treatment options for their severe SCD. In the present study,we aimed to systematically review the results of haploidentical SCT in patients with SCD. A comprehensive search was performed in MEDLINE/PubMed and Embase up to May 2021. Data were extracted by 2 reviewers independently,and the Newcastle-Ottawa Quality Assessment Scale was used to assess the quality of the studies. Fourteen studies met our inclusion criteria. To provide an overview of the results of haploidentical SCT,we grouped the studies into myeloablative conditioning versus nonmyeloablative conditioning as well as into in vitro versus in vivo (ie,with post-transplantation cyclophosphamide) T cell depletion with a subgroup meta-analysis of proportions. All the included studies were observational cohort studies. Only 3 of these studies reported data for both matched sibling donor (MSD) SCT and haploidentical SCT. Based on a comparative meta-analysis of the 3 studies that included both haploidentical and MSD transplantation,graft failure was significantly higher in the haploidentical group than in the MSD group (odds ratio,5.3; 95% confidence interval [CI],1.0 to 27.6). Overall survival was not significantly different between the groups. A subgroup meta-analysis of the results of haploidentical SCT showed relatively low overall pooled proportions of graft failure (7%; 95% CI,2% to 20%),acute graft-versus-host disease (GVHD) (4%; 95% CI,2% to 12%),and chronic GVHD (11%; 95% CI,7% to 16%). Overall survival (OS) was high in all the included studies (91%; 95% CI,85% to 94%). Adjustments to the conditioning regimens,robust pretransplantation and post-transplantation T cell depletion,and improved supportive care have resulted in reduced graft failure and improved OS following haploidentical SCT in patients with SCD. We conclude that the safety of haploidentical SCT in SCD patients has improved significantly,and that this should be considered as a curative option in patients with severe SCD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,36058780	Acute and chronic pain management in patients with sickle cell disease in the modern era: a comprehensive review. Sickle cell disease (SCD) is the most common inherited red blood cell (RBC) disorder worldwide,resulting in chronic hemolytic anemia,vaso-occlusion,tissue hypoxia,and ultimately end organ damage. The hallmark of the disease is manifested by vaso-occlusive crisis (VOC) resulting in acute on chronic pain,and the most common cause for presentation to the emergency department and hospital admission. The management of pain for patients with SCD in the U.S. has historically been socially and politically complex with most patients experiencing pain on a daily basis but not seeking immediate medical attention. The pathophysiology of acute and chronic pain in SCD is multifactorial and complex. Here,we describe factors contributing to acute and chronic pain in SCD and management strategies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,37653351	Kidney failure outcomes in children and young adults with sickle cell disease in the United States Renal Data System. BACKGROUND: Children and young adults with sickle cell disease (SCD) develop kidney disease early in childhood,with some patients progressing to require dialysis and kidney transplantation. The prevalence and outcomes of children with kidney failure (chronic kidney disease stage 5) due to SCD are not well described. This study aimed to assess the outcome of children and young adults with SCD with kidney failure compared to matched children and young adults without SCD with kidney failure in a large national database. METHODS: Utilizing the United States Renal Data System (USRDS),we retrospectively examined kidney failure outcomes in children and young adults with SCD from 1998 to 2019. RESULTS: We identified 97 patients with SCD who developed kidney failure and identified 96 matched controls with a median age of 19 years (IQR 17,21) at the time of kidney failure diagnosis. SCD patients had significantly shorter survival (8.4 years vs. 14.0 years,p < 0.001) and had a longer waiting time for their first transplant when compared to matched non-SCD kidney failure patients (12.1 years vs. 7.3 years,p < 0.001). CONCLUSIONS: Children and young adults with SCD kidney failure have significantly higher mortality when matched to non-SCD kidney failure children and experience a longer mean time to kidney transplant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,36860093	Attitudes toward COVID-19 vaccine among pediatric patients with sickle cell disease and their caregivers. OBJECTIVE: To evaluate attitudes toward vaccination and vaccine uptake regarding coronavirus disease 2019 (COVID-19) among pediatric patients with sickle cell disease (SCD) and their caregivers. PROCEDURE: Adolescent patients and caregivers of children with SCD were surveyed during routine clinic visits; we then conducted a logistic regression analysis to understand differences in vaccine status,while qualitative responses were coded thematically. RESULTS: Among respondents,the overall vaccination rate among adolescents and caregivers was 49% and 52%,respectively. Among the unvaccinated,60% and 68% of adolescents and caregivers,respectively,preferred to remain unvaccinated,most commonly due to lack of perceived personal benefit from vaccination or mistrust in the vaccine. Multivariate logistic regression analysis showed that child's age (odds ratio [OR] = 1.1,95% confidence interval [CI]: 1.0-1.2,p < .01) and caregiver education (measured by the Economic Hardship Index [EHI] score,OR = 0.76,95% CI: 0.74-0.78,p < .05) were independent predictors of getting vaccinated. CONCLUSION: Despite the increased risk of severe illness due to COVID-19 in patients with SCD,vaccine hesitancy remains high in this population of families whose children have SCD. Fortunately,the reasons cited for deferring vaccination among those who are unvaccinated were largely due to barriers that may be overcome with quality communication around the utility of the vaccine and information about vaccine safety.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
