PMID	Text
31026251	Health-related Quality of Life in Children With Sickle Cell Disease Undergoing Chronic Red Cell Transfusion Therapy. Chronic red cell transfusion (CRCT) therapy is one of few disease-modifying treatments for sickle cell disease (SCD). This study evaluated health-related quality of life (HRQL) in children receiving CRCT relative to 2 comparison groups: children with similar, severe SCD and children with milder disease risk defined by SCD genotype. For this study, 67 children with SCD between the ages of 8 and 18 completed the self-report Pediatric Quality of Life Sickle Cell Disease module (PedsQL SCD) as part of a pilot clinical program during routine hematologic visits. A medical chart review was also performed. Linear regression suggested that children in the CRCT group had significantly higher self-reported HRQL ratings for domains related to pain, F2,64=4.07 (P=0.022) and pain-related functioning, F2,64=4.32 (P=0.017), compared with children with similar and milder disease risk. Exploratory analyses implied that children in the CRCT group also had fewer worries about SCD-related complications, F3,63=9.68 (P<0.001). These patient-perceived benefits of CRCT may have important implications for treatment decisions and for providing ancillary support for children with SCD and their families.
32202251	
31045749	Do chronic pain and comorbidities affect brain function in sickle cell patients? A systematic review of neuroimaging and treatment approaches. Sickle cell disease (SCD) is a medical condition in which chronic pain is common and negatively impacts psychosocial function and quality of life. Although the brain mechanisms underlying chronic pain are well studied in other painful conditions, the brain mechanisms underlying chronic pain and the associated psychosocial comorbidities are not well established in SCD. A growing literature demonstrates the effect of treatment of chronic pain, including pharmacological and nonpharmacological treatments, on brain function. The present systematic review aimed to (1) determine the effects of chronic pain and psychosocial comorbidities on brain function of patients with SCD; (2) summarize pharmacological and nonpharmacological approaches to treat these symptoms; and (3) identify areas for further investigation of potential beneficial effects of treatments on brain function. Titles were screened using predefined criteria, including SCD, and abstracts and full texts were reviewed by 2 independent reviewers. A total of 1167 SCD articles were identified, and 86 full articles were included covering 3 sections: chronic pain (4 studies), psychosocial comorbidities (11 studies), and pharmacological and nonpharmacological treatments (71 studies). Neuroimaging evidence demonstrates aberrant neural processing related to chronic pain and psychosocial comorbidities in SCD beyond ischemic stroke and cerebral hemorrhage. Although neuroimaging studies show an important role for psychological factors, pain management is nearly exclusively based on opioids. Behavior therapy seems useful to improve psychological symptoms as well as chronic pain and quality of life. Further investigation is required with larger cohorts, matched controls, and examination of treatment-related neural mechanisms.
36516084	Outcomes following posttransplant viral-specific T-cell therapy in patients with sickle cell disease. Hematopoietic stem cell transplantation (HSCT) is increasingly used as a curative approach for sickle cell disease (SCD). With the risk of graft-versus-host disease (GVHD), especially in the HLA-mismatched donors, intense immunosuppression is required leading to an increased risk of viral infection. Post-HSCT, adoptive transfer of virus-specific T cell (VSTs) therapies have not been well-studied in SCD patients. Here, we report the outcomes of patients with SCD at a single-center who received VSTs post-transplant to prevent or treat virus infections. Thirteen patients who received HSCT from HLA-matched (n=9) or mismatched (n=4) donors for SCD were treated with a total of 15 VST products for the treatment or prophylaxis of multiple viruses (cytomegalovirus, ebstein barr virus, adenovirus, BK virus, human herpes virus 6 +/- human parainfluenza virus 3). Of the patients evaluated, 46.2% (n=6)) received VSTs as treatment of virus infection. Eighty percent of patients with active viremia (n=4/5) achieved remission of at least 1 target virus. Seven additional patients (53.8%) received VSTs prophylactically and 6/7 (85.7%) remained virus-free post-infusion. No immediate infusion-related toxicities occurred, and severe de novo acute GVHD occurred in only 2 (15.4%) patients. Given the good safety profile, high-rate of clinical responses and sustained remissions when administered with standard anti-viral treatments, the routine use of VSTs post-HSCT as prophylaxis or treatment may improve the overall safety of transplant for patients with SCD.
28094851	Blood transfusion for preventing primary and secondary stroke in people with sickle cell disease. BACKROUND: Sickle cell disease is one of the commonest severe monogenic disorders in the world, due to the inheritance of two abnormal haemoglobin (beta globin) genes. Sickle cell disease can cause severe pain, significant end-organ damage, pulmonary complications, and premature death. Stroke affects around 10% of children with sickle cell anaemia (HbSS). Chronic blood transfusions may reduce the risk of vaso-occlusion and stroke by diluting the proportion of sickled cells in the circulation.This is an update of a Cochrane Review first published in 2002, and last updated in 2013. OBJECTIVES: To assess risks and benefits of chronic blood transfusion regimens in people with sickle cell disease for primary and secondary stroke prevention (excluding silent cerebral infarcts). SEARCH METHODS: We searched for relevant trials in the Cochrane Library, MEDLINE (from 1946), Embase (from 1974), the Transfusion Evidence Library (from 1980), and ongoing trial databases; all searches current to 04 April 2016.We searched the Cochrane Cystic Fibrosis and Genetic Disorders Group Haemoglobinopathies Trials Register: 25 April 2016. SELECTION CRITERIA: Randomised controlled trials comparing red blood cell transfusions as prophylaxis for stroke in people with sickle cell disease to alternative or standard treatment. There were no restrictions by outcomes examined, language or publication status. DATA COLLECTION AND ANALYSIS: Two authors independently assessed trial eligibility and the risk of bias and extracted data. MAIN RESULTS: We included five trials (660 participants) published between 1998 and 2016. Four of these trials were terminated early. The vast majority of participants had the haemoglobin (Hb)SS form of sickle cell disease.Three trials compared regular red cell transfusions to standard care in primary prevention of stroke: two in children with no previous long-term transfusions; and one in children and adolescents on long-term transfusion.Two trials compared the drug hydroxyurea (hydroxycarbamide) and phlebotomy to long-term transfusions and iron chelation therapy: one in primary prevention (children); and one in secondary prevention (children and adolescents).The quality of the evidence was very low to moderate across different outcomes according to GRADE methodology. This was due to the trials being at a high risk of bias due to lack of blinding, indirectness and imprecise outcome estimates. Red cell transfusions versus standard care Children with no previous long-term transfusionsLong-term transfusions probably reduce the incidence of clinical stroke in children with a higher risk of stroke (abnormal transcranial doppler velocities or previous history of silent cerebral infarct), risk ratio 0.12 (95% confidence interval 0.03 to 0.49) (two trials, 326 participants), moderate quality evidence.Long-term transfusions may: reduce the incidence of other sickle cell disease-related complications (acute chest syndrome, risk ratio 0.24 (95% confidence interval 0.12 to 0.48)) (two trials, 326 participants); increase quality of life (difference estimate -0.54, 95% confidence interval -0.92 to -0.17) (one trial, 166 participants); but make little or no difference to IQ scores (least square mean: 1.7, standard error 95% confidence interval -1.1 to 4.4) (one trial, 166 participants), low quality evidence.We are very uncertain whether long-term transfusions: reduce the risk of transient ischaemic attacks, Peto odds ratio 0.13 (95% confidence interval 0.01 to 2.11) (two trials, 323 participants); have any effect on all-cause mortality, no deaths reported (two trials, 326 participants); or increase the risk of alloimmunisation, risk ratio 3.16 (95% confidence interval 0.18 to 57.17) (one trial, 121 participants), very low quality evidence. Children and adolescents with previous long-term transfusions (one trial, 79 participants)We are very uncertain whether continuing long-term transfusions reduces the incidence of: stroke, risk ratio 0.22 (95% confidence interval 0.01 to 4.35); or all-cause mortality, Peto odds ratio 8.00 (95% confidence interval 0.16 to 404.12), very low quality evidence.Several review outcomes were only reported in one trial arm (sickle cell disease-related complications, alloimmunisation, transient ischaemic attacks).The trial did not report neurological impairment, or quality of life. Hydroxyurea and phlebotomy versus red cell transfusions and chelationNeither trial reported on neurological impairment, alloimmunisation, or quality of life. Primary prevention, children (one trial, 121 participants)Switching to hydroxyurea and phlebotomy may have little or no effect on liver iron concentrations, mean difference -1.80 mg Fe/g dry-weight liver (95% confidence interval -5.16 to 1.56), low quality evidence.We are very uncertain whether switching to hydroxyurea and phlebotomy has any effect on: risk of stroke (no strokes); all-cause mortality (no deaths); transient ischaemic attacks, risk ratio 1.02 (95% confidence interval 0.21 to 4.84); or other sickle cell disease-related complications (acute chest syndrome, risk ratio 2.03 (95% confidence interval 0.39 to 10.69)), very low quality evidence. Secondary prevention, children and adolescents (one trial, 133 participants)Switching to hydroxyurea and phlebotomy may: increase the risk of sickle cell disease-related serious adverse events, risk ratio 3.10 (95% confidence interval 1.42 to 6.75); but have little or no effect on median liver iron concentrations (hydroxyurea, 17.3 mg Fe/g dry-weight liver (interquartile range 10.0 to 30.6)); transfusion 17.3 mg Fe/g dry-weight liver (interquartile range 8.8 to 30.7), low quality evidence.We are very uncertain whether switching to hydroxyurea and phlebotomy: increases the risk of stroke, risk ratio 14.78 (95% confidence interval 0.86 to 253.66); or has any effect on all-cause mortality, Peto odds ratio 0.98 (95% confidence interval 0.06 to 15.92); or transient ischaemic attacks, risk ratio 0.66 (95% confidence interval 0.25 to 1.74), very low quality evidence. AUTHORS' CONCLUSIONS: There is no evidence for managing adults, or children who do not have HbSS sickle cell disease.In children who are at higher risk of stroke and have not had previous long-term transfusions, there is moderate quality evidence that long-term red cell transfusions reduce the risk of stroke, and low quality evidence they also reduce the risk of other sickle cell disease-related complications.In primary and secondary prevention of stroke there is low quality evidence that switching to hydroxyurea with phlebotomy has little or no effect on the liver iron concentration.In secondary prevention of stroke there is low-quality evidence that switching to hydroxyurea with phlebotomy increases the risk of sickle cell disease-related events.All other evidence in this review is of very low quality.
30095751	How Sickle Cell Disease Impairs Skeletal Muscle Function: Implications in Daily Life. Sickle cell disease (SCD) is the most frequent life-threatening genetic hemoglobinopathy in the world and occurs due to the synthesis of abnormal hemoglobin S (HbS). hemoglobin S-containing red blood cells (RBC) are fragile, leading to hemolysis and anemia, and adhere to the endothelium, leading to hemorheological and hemodynamical disturbances. In its deoxygenated form, HbS may polymerize, leading to sickling of red blood cells and potentially to vasoocclusive crises. Recent findings observed that SCD patients demonstrate significant skeletal muscle remodeling and display reduced muscle functional capacities, contributing to exercise intolerance and poor quality of life. Although acute high-intensity exercise is not recommended for SCD patients because it may increase the risk of sickling, regular moderate-intensity physical activity could have beneficial effects on skeletal muscle and more generally on the well-being of SCD patients. This article reviews the literature regarding the impact of the disease on muscular tissue characteristics and function, as well as the corresponding implications for SCD patients' quality of life.
28877587	
28821470	Design of the DREPAGREFFE trial: A prospective controlled multicenter study evaluating the benefit of genoidentical hematopoietic stem cell transplantation over chronic transfusion in sickle cell anemia children detected to be at risk of stroke by transcranial Doppler (NCT 01340404). BACKGROUND: Children with sickle cell anemia (SCA) have an 11% risk of stroke by the age of 18. Chronic transfusion applied in patients detected to be at risk by transcranial Doppler allows a significant reduction of stroke risk. However, chronic transfusion exposes to several adverse events, including alloimmunization and iron overload, and is not curative. Hematopoietic stem cell transplantation allows termination of the transfusion program, but its benefit has not been demonstrated. DESIGN: DREPAGREFFE (NCT01340404) is a multicenter, prospective trial enrolling SCA children younger than 15years receiving chronic transfusion due to a history of abnormal transcranial Doppler (velocities >=200cm/s). Only those with at least one non-SCA sibling and parents accepting HLA-typing and transplantation with a genoidentical donor were eligible. Chronic transfusion was pursued in patients with no available donor, whereas others were transplanted. Comparison between the 2 arms (transfusion vs transplantation) was analyzed using both genetic randomization and propensity-score matching as a sensitivity analysis. The primary end-point was the velocity measure at 1year. Secondary endpoints were the incidence of stroke, silent cerebral infarcts and stenoses, cognitive performance in comparison with siblings, allo-immunization, iron-overload, phosphatidyl-serine, angiogenesis/hypoxia, brain injury-related factor expression, quality of life and cost. OBJECTIVES: To show that genoidentical transplantation decreases velocities significantly more than chronic transfusion in SCA children at risk of stroke. DISCUSSION: DREPAGREFFE is the first prospective study to evaluate transplantation in SCA children. It compares the outcome of cerebral vasculopathy following genoidentical transplantation versus chronic transfusion using genetic randomization and causal inference methods.
30324698	Differential cerebral hemometabolic responses to blood transfusions in adults and children with sickle cell anemia. BACKGROUND: Blood transfusions are administered to children and adults with sickle cell anemia (SCA) for secondary stroke prevention, or as treatment for recurrent pain crises or acute anemia, but transfusion effects on cerebral hemodynamics and metabolism are not well-characterized. PURPOSE: To compare blood transfusion-induced changes in hemometabolic parameters, including oxygen extraction fraction (OEF) and cerebral blood flow (CBF), within and between adults and children with SCA. STUDY TYPE: Prospective, longitudinal study. SUBJECTS: Adults with SCA (n = 16) receiving simple (n = 7) or exchange (n = 9) transfusions and children with SCA (n = 11) receiving exchange transfusions were scanned once when hematocrit was near nadir and again within 7 days of transfusion. Adult controls without SCA or sickle trait (n = 7) were scanned twice on separate days. FIELD STRENGTH/SEQUENCE: 3.0T T1 -weighted, T2 -weighted, and T2 -relaxation-under-spin-tagging (TRUST) imaging, and phase contrast angiography. ASSESSMENT: Global OEF was computed as the relative difference between venous oxygenation (from TRUST) and arterial oxygenation (from pulse oximetry). Global CBF was computed as total blood flow to the brain normalized by intracranial tissue volume. STATISTICAL TESTS: Hemometabolic variables were compared using two-sided Wilcoxon signed-rank tests; associations were analyzed using two-sided Spearman's correlation testing. RESULTS: In adults with SCA, posttransfusion OEF = 0.38 +- 0.05 was lower (P = 0.001) than pretransfusion OEF = 0.45 +- 0.09. A change in OEF was correlated with increases in hematocrit (P = 0.02; rho = -0.62) and with pretransfusion hematocrit (P = 0.02; rho = 0.65). OEF changes after transfusion were greater (P = 0.002) in adults receiving simple versus exchange transfusions. Posttransfusion CBF = 77.7 +- 26.4 ml/100g/min was not different (P = 0.27) from pretransfusion CBF = 82.3 +- 30.2 ml/100g/min. In children with SCA, both posttransfusion OEF = 0.28 +- 0.04 and CBF = 76.4 +- 26.4 were lower than pretransfusion OEF = 0.36 +- 0.06 (P = 0.004) and CBF = 96.4 +- 16.5 (P = 0.004). DATA CONCLUSION: Cerebral OEF reduces following transfusions in adults and children with SCA. CBF reduces following transfusions more often in children compared to adults, indicating that vascular reserve capacity may remain near exhaustion posttransfusion in many adults. LEVEL OF EVIDENCE: 2 Technical Efficacy Stage 5 J. Magn. Reson. Imaging 2019;49:466-477.
28802541	Opioid doses and acute care utilization outcomes for adults with sickle cell disease: ED versus acute care unit. BACKGROUND: Acute care units (ACUs) with focused sickle cell disease (SCD) care have been shown to effectively address pain and limit hospitalizations compared to emergency departments (ED), the reason for differences in admission rates is understudied. Our aim was compare effects of usual care for adult SCD pain in ACU and ED on opioid doses and discharge pain ratings, hospital admission rates and lengths of stay. METHODS: In a retrospective, comparative cohort, single academic tertiary center study, 148 adults with sickle cell pain received care in the ED, ACU or both. From the medical records we documented opioid doses, unit discharge pain ratings, hospital admission rates, and lengths of stay. FINDINGS: Pain on admission to the ED averaged 8.7+-1.5 and to the ACU averaged 8.0+-1.6. The average pain on discharge from the ED was 6.4+-3.0 and for the ACU was 4.5+-2.5. 70% of the 144 ED visits resulted in hospital admissions as compared to 37% of the 73 ACU visits. Admissions from the ED or ACU had similar inpatient lengths of stay. Significant differences between ED and ACU in first opioid dose and hourly opioid dose were noted. CONCLUSIONS: Applying guidelines for higher dosing of opioids for acute painful episodes in adults with SCD in ACU was associated with improved pain outcomes and decreased hospitalizations, compared to ED. Adoption of this approach for SCD pain in ED may result in improved outcomes, including a decrease in hospital admissions.
32255722	Bridging the Gap Among Clinical Practice Guidelines for Pain Management in Cancer and Sickle Cell Disease. Opioids are a critical component of pain relief strategies for the management of patients with cancer and sickle cell disease. The escalation of opioid addiction and overdose in the United States has led to increased scrutiny of opioid prescribing practices. Multiple reports have revealed that regulatory and coverage policies, intended to curb inappropriate opioid use, have created significant barriers for many patients. The Centers for Disease Control and Prevention, National Comprehensive Cancer Network, and ASCO each publish clinical practice guidelines for the management of chronic pain. A recent JAMA Oncology article highlighted perceived variability in recommendations among these guidelines. In response, leadership from guideline organizations, government representatives, and authors of the original article met to discuss challenges and solutions. The meeting featured remarks by the Commissioner of Food and Drugs, presentations on each clinical practice guideline, an overview of the pain management needs of patients with sickle cell disease, an overview of perceived differences among guidelines, and a discussion of differences and commonalities among the guidelines. The meeting revealed that although each guideline varies in the intended patient population, target audience, and methodology, there is no disagreement among recommendations when applied to the appropriate patient and clinical situation. It was determined that clarification and education are needed regarding the intent, patient population, and scope of each clinical practice guideline, rather than harmonization of guideline recommendations. Clinical practice guidelines can serve as a resource for policymakers and payers to inform policy and coverage determinations.
31595633	
30153113	Effective Pain Management After Total Hip Arthroplasty in a Sickle Cell Patient Emphasizing Dexamethasone Sodium Phosphate/Methylprednisolone Acetate Administered via a Peripheral Nerve Blockade: A Case Report. Pain control after total hip arthroplasty in sickle cell patients is challenging yet essential to prevent sickle cell crises or protracted hospital stays. We present a case of effective analgesia that lasted for weeks in a young opioid-tolerant female. This was achieved by the administration of glucocorticoids with different durations of action, dexamethasone sodium phosphate/methylprednisolone acetate, via a femoral/lateral femoral cutaneous nerve block placed preoperatively. Postoperatively, the patient's opioid demand was unchanged from her preoperative baseline. She met all the discharge requirements, including physical therapy targets, on postoperative day 2 and did not have any complications during the hospitalization.
29977264	Impact of aerobic exercises on selected inflammatory markers and immune system response among patients with sickle cell anemia in asymptomatic steady state. BACKGROUND & OBJECTIVE: Sickle cell anemia (SCA) is well recognized as a chronic inflammatory disease. Despite progress in therapy, SCA remains a cause of significant morbidity and mortality. The relationship between exercise and immune function has been of great interest to the scientific community and the lay public. The aim of this study was to measure the impact of aerobic exercise training on the immunologic parameters and inflammatory cytokines of patients with sickle cell anemia (SCA) in asymptomatic steady state. MATERIAL AND METHODS: Sixty asymptomatic sickle cell anemia patients were involved in this study, their age ranged from 25- 40 years and were assigned to two sub-groups; group (A) received aerobic exercise training for 12 weeks, however group (B) received no training intervention for 12 weeks. Parameters of CD3, CD4 and CD8 were quantified, Leukocyte, differential counts, IL-6 and TNF-alpha were measured before and after 12 weeks, at the end of the study. RESULTS: The mean values of CD3, CD4 and CD8, leukocyte, monocytes counts, IL-6 and TNF-alpha were significantly decreased in group (A), while group (B) showed non-significant changes in these parameters. Also; there were significant differences between mean levels of the investigated parameters in group (A) and group (B) after treatment. CONCLUSION: The current study provides evidence that aerobic exercise training improves inflammatory markers and immune system in patients with sickle cell anemia (SCA) in asymptomatic steady state.
32681734	Muscle structural, energetic and functional benefits of endurance exercise training in sickle cell disease. Sickle cell disease (SCD) patients display skeletal muscle hypotrophy, altered oxidative capacity, exercise intolerance and poor quality of life. We previously demonstrated that moderate-intensity endurance training is beneficial for improving muscle function and quality of life of patients. The present study evaluated the effects of this moderate-intensity endurance training program on skeletal muscle structural and metabolic properties. Of the 40 randomized SCD patients, complete data sets were obtained from 33. The training group (n = 15) followed a personalized moderate-intensity endurance training program, while the non-training (n = 18) group maintained a normal lifestyle. Biopsies of the vastus lateralis muscle and submaximal incremental cycling tests were performed before and after the training program. Endurance training increased type I muscle fiber surface area (P = .038), oxidative enzyme activity [citrate synthase, P < .001; beta-hydroxyacyl-CoA dehydrogenase, P = .009; type-I fiber cytochrome c oxidase, P = .042; respiratory chain complex IV, P = .017] and contents of respiratory chain complexes I (P = .049), III (P = .005), IV (P = .003) and V (P = .002). Respiratory frequency, respiratory exchange ratio, blood lactate concentration and rating of perceived exertion were all lower at a given submaximal power output after training vs non-training group (all P < .05). The muscle content of proteins involved in glucose transport and pH regulation were unchanged in the training group relative to the non-training group. The moderate-intensity endurance exercise program improved exercise capacity and muscle structural and oxidative properties. This trial was registered at www.clinicaltrials.gov as #NCT02571088.
32892842	Transfusion support in patients with sickle cell disease. Blood transfusions are an integral component of the management of acute and chronic complications of sickle cell disease. Red cells can be administered as a simple transfusion, part of a modified exchange procedure involving manual removal of autologous red cells and infusion of donor red cells, and part of an automated red cell exchange procedure using apheresis techniques. Individuals with sickle cell disease are at risk of multiple complications of blood transfusions, including transfusional hemosiderosis, auto- and alloimmunization to minor red cell and human leukocyte antigens, delayed hemolytic transfusion reactions, and hyper-hemolysis. In low- and middle-income countries in sub-Saharan Africa, where a directed donor system is prevalent and limited laboratory methods are in place to perform extended red cell phenotyping, leukodepletion of cellular products, and infectious disease screening, there are additional challenges to providing safe and adequate transfusion support for this patient population. We review current indications for acute and chronic transfusions in sickle cell disease that are derived primarily from randomized controlled trials and observational studies in children living in high-income countries. We will highlight populations with unique transfusion needs, such as pregnant women and children, as well as the role of the transfusion medicine consultative service for individuals with sickle cell disease planning to have curative hematopoietic stem cell transplantation or gene therapy. Finally, we will discuss risk factors for alloimmunization in individuals with sickle cell disease, emerging new strategies to prevent alloimmunization in this population, and critical gaps in the implementation of transfusion guidelines for sickle cell disease in high- and low-income countries.
36775794	Complementary and alternative medicine for children with sickle cell disease: A systematic review. BACKGROUND: Complementary and alternative medicine (CAM) is a popular alternative to opioid and other analgesics in sickle cell disease (SCD). We review the effectiveness, prevalence, and factors associated with CAM use in the pediatric SCD population. METHODS: The review protocol was created based on Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. A literature search was conducted in MEDLINE, Embase, Cochrane Library, PubMed, and Web of Science. RESULTS: Twenty-four studies were examined. The prevalence of CAM use in pediatric patients with SCD ranged from 36 to 84.5%. Common inpatient CAM interventions were yoga, virtual reality, and acupuncture, which decreased pain scale scores. Outpatient CAMs were consisted of cognitive behavioral therapy, massage therapy, and guided-imagery, which increased pain tolerability and decreased pain scale scores. CONCLUSIONS: CAM modalities can decrease pain scale scores. However, the impact of specific CAM modalities on emergency department visits, hospitalizations, and school absences were inconclusive.
33560399	Allogeneic stem cell transplantation with omidubicel in sickle cell disease. Many patients with sickle cell disease (SCD) do not have HLA-matched related donors for hematopoietic stem cell transplantation (HSCT). Unrelated cord blood (UCB) is an alternative graft option but is historically associated with high graft failure rates, with inadequate cell dose a major limitation. Omidubicel is a nicotinamide-based, ex vivo-expanded UCB product associated with rapid engraftment in adults with hematologic malignancies. We hypothesized that increasing the UCB cell dose with this strategy would lead to improved engraftment in pediatric patients undergoing myeloablative HSCT for SCD. We report the outcomes of a phase 1/2 study in 13 patients with severe SCD who received omidubicel in combination with an unmanipulated UCB graft and 3 who received a single omidubicel graft. Grafts were minimally matched with patients at 4 of 6 HLA alleles. Median age at transplant was 13 years. A median CD34+ expansion of ~80-fold was observed in omidubicel and led to rapid neutrophil engraftment (median, 7 days). Long-term engraftment was derived from the unmanipulated graft in most of the double cord blood recipients. Two of the 3 single omidubicel recipients also had sustained engraftment. Incidence of acute graft-versus-host disease (GVHD) was high, but resolved in all surviving patients. Event-free survival in the double cord group was 85% (median follow-up 4 years). All 3 patients in the single cord group were alive at 1 year after transplantation. Ex vivo expansion of UCB with omidubicel supports engraftment in patients with SCD. This approach to decreasing the incidence of GVHD should be optimized for general use in patients with SCD. This study was registered at www.clinicaltrials.gov as #NCT01590628.
30941859	Health literacy and knowledge of chronic transfusion therapy in adolescents with sickle cell disease and caregivers. BACKGROUND: Patients with sickle cell disease (SCD) may require chronic transfusion therapy (CTT) for prevention of stroke or other complications. Limited health literacy (HL) is common and is associated with poor health-related knowledge and outcomes in chronic disease. We sought to assess HL and transfusion knowledge in patients with SCD on CTT and their caregivers. METHODS: A cross-sectional study of patients was conducted in outpatient hematology clinics. Forty-five pairs of adolescent patients and caregivers and 20 caregivers of pre-adolescent patients completed the Newest Vital Sign HL assessment and answered questions assessing SCD and transfusion knowledge. Community-level median income and unemployment rates were estimated from Census data. We computed the correlation of HL with knowledge and compared each to Census variables, payor status, educational attainment, and stroke. RESULTS: HL was inadequate in 22 (34%) caregivers and 31 (69%) adolescents. Adequate caregiver HL was associated with higher educational attainment but not community-level socioeconomics or payor status. Mean knowledge score was lower in adolescents than in caregivers and correlated with age in adolescents (r = 0.42, P = .004). HL correlated with knowledge (r = 0.46, P < .0001). There were no significant correlations of HL or knowledge between adolescents and their caregivers. Neither HL nor knowledge was associated with prior stroke. The greatest knowledge was demonstrated for iron overload and SCD genotype, whereas knowledge gaps existed in alloimmunization, indication for CTT, and SCD curative therapy. CONCLUSIONS: Enhanced educational resources in transfusion therapy, alloimmunization, and curative therapy are needed for patients with SCD and caregivers of all HL levels.
37248824	Pharmacogenetics of pain management in Zimbabwean patients with sickle cell disease. Background: Pain is a common cause of hospitalization in sickle cell disease (SCD) patients. Failure to effectively control pain remains a challenge in patient care. Materials & methods: The authors conducted a cross-sectional study to determine the effect of CYP2D6 and UGT2B7 polymorphisms on pain management in 106 Zimbabwean SCD patients. Participant information was collected on a questionnaire. Genotyping was conducted using the GenoPharm  pharmacogenomics open array panel containing CYP2D6 and UGT genetic variants implicated in opioid response. Results: The reduced function alleles CYP2D6*17 and *29 had high frequencies of 15.9% and 12.9%, respectively. UGT2B7 rs73823859 showed a statistically significant correlation with pain levels (p = 0.0454). Conclusion: This study demonstrated the role of UGT2B7 polymorphism in SCD patient pain management.
36354234	Safety of coronavirus disease 2019 vaccines in 213 adult patients with sickle cell disease. Given the lack of information about safety of the COVID-19 vaccines for sickle cell disease (SCD) patients, we sought to determine whether COVID-19 vaccine was associated with subsequent hospital admission for vaso-occlusive events (VOEs). We included 402 patients with SCD, including 88 regularly transfused. As of July 31, 2021, 213 (53.0%) of them had received a least one dose of COVID vaccine (Pfizer 93.0%). We showed similar risk of hospital admission for a VOE among vaccinated patients (whether transfused or not) and among a control group of non-vaccinated patients matched for age, sex and genotype.
33897715	The Evolving Landscape of Biomarkers in Celiac Disease: Leading the Way to Clinical Development. Celiac disease is a common immune-mediated disease characterized by abnormal T-cell responses to gluten. For many patients, symptoms and intestinal damage can be controlled by a gluten-free diet, but, for some, this approach is not enough, and celiac disease progresses, with serious medical consequences. Multiple therapies are now under development, increasing the need for biomarkers that allow identification of specific patient populations and monitoring of therapeutic activity and durability. The advantage of identifying biomarkers in celiac disease is that the underlying pathways driving disease are well characterized and the histological, cellular, and serological changes with gluten response have been defined in gluten challenge studies. However, there is room for improvement. Biomarkers that measure histological changes require duodenal biopsies and are invasive. Less invasive peripheral blood cell and cytokine biomarkers are transient and dependent upon gluten challenge. Here, we discuss established biomarkers and new approaches for biomarkers that may overcome current limitations.
31688364	Effect of a Gluten-free Diet on Quality of Life in Patients With Nonclassical Versus Classical Presentations of Celiac Disease. BACKGROUND: Celiac disease (CD) often presents with symptoms of diarrhea and malabsorption, termed classical CD. However, it can also present as nonclassical CD, which is commonly associated with nongastrointestinal symptoms. Studies suggest that nonclassical CD tends to have less severe symptoms than classical CD, which may affect both adherence to a gluten-free diet (GFD) and psychological stress. Therefore, we compared adherence to a GFD and psychological measures, including quality of life (QOL) and somatization, between patients with nonclassical and classical presentations of CD. METHODS: Patients at a tertiary care center with biopsy-proven CD, who completed a Talley Bowel Disease Questionnaire and the Short Form-36 at diagnosis and who had been on a GFD for at least 1 year, were included in this study. Patients were further surveyed to assess gastrointestinal symptoms, QOL, Somatization Symptom Checklist (SSC), and adherence to a GFD. Results were compared between patients with classical versus nonclassical CD presentation. RESULTS: Among 122 patients included in this study, 62 had classical CD and 60 had nonclassical CD. At diagnosis, health-related QOL was lower in the classical CD group than in the nonclassical CD group. After following a GFD, both groups had improved QOL after following a GFD, and body mass index significantly increased in both groups. Most subscales of QOL, SSC scores, and adherence to the GFD were similar between the groups, except the Short Form-36 Mental Component summary scores that were still lower in the classical CD (48.4 vs. 52.6 nonclassical CD group; P=0.03). CONCLUSIONS: Despite QOL at diagnosis being higher in those with nonclassical CD versus lower in those with classical CD, both groups had improved QOL and achieved a similar QOL after following a GFD.
